perigo_reto,perigo_esquerda,perigo_direita,direcao_cima,direcao_baixo,direcao_esquerda,direcao_direita,maca_esquerda,maca_direita,maca_cima,maca_baixo,Q_straight,Q_left,Q_right,melhor_acao
False,False,True,False,False,False,True,False,False,True,False,4.886,2.634,-4.686,straight
False,True,False,False,False,False,True,True,False,False,True,3.49,-9.114,4.885,right
False,True,False,True,False,False,False,False,True,False,True,2.666,-7.458,4.87,right
False,True,False,True,False,False,False,True,False,True,False,3.249,-8.332,4.808,right
True,True,False,True,False,False,False,False,True,False,True,-1.9,-1.9,4.726,right
False,False,True,False,True,False,False,False,False,True,False,0.223,4.691,-1.0,left
True,False,False,True,False,False,False,False,True,False,True,-5.695,0.087,4.656,right
False,False,False,False,True,False,False,False,False,True,False,1.388,4.598,0.545,left
False,False,False,False,True,False,False,False,True,True,False,3.036,4.571,3.037,left
False,True,False,False,False,True,False,True,False,False,True,2.005,-6.126,4.565,right
True,True,False,False,False,True,False,True,False,True,False,-4.686,-5.217,4.473,right
True,False,False,True,False,False,False,True,False,False,True,-8.147,4.455,0.515,left
False,False,True,True,False,False,False,False,True,True,False,4.437,2.132,-8.649,straight
False,False,True,True,False,False,False,False,False,True,False,3.244,4.372,-5.695,left
False,True,False,False,True,False,False,False,False,True,False,0.754,-1.9,4.345,right
False,False,False,True,False,False,False,False,False,False,True,0.604,0.916,4.312,right
False,False,True,False,False,True,False,True,False,True,False,2.977,4.274,-8.147,left
True,True,False,False,False,False,True,False,True,False,True,-1.9,-4.095,4.192,right
True,False,False,False,True,False,False,False,True,True,False,-7.941,4.167,-0.063,left
False,False,True,False,True,False,False,True,False,False,True,2.986,4.106,-8.784,left
True,False,True,False,True,False,False,False,True,False,True,-4.686,4.104,-5.217,left
True,False,False,False,False,False,True,True,False,True,False,-7.458,4.082,1.564,left
False,False,True,False,False,False,True,False,True,False,True,2.922,4.062,-8.906,left
False,True,False,True,False,False,False,False,False,False,True,-0.01,-1.0,4.024,right
True,False,True,True,False,False,False,False,True,True,False,-2.71,4.023,-2.71,left
False,True,False,False,True,False,False,False,True,False,True,4.014,-7.712,1.977,straight
False,False,True,False,False,True,False,False,False,False,True,4.009,3.281,-3.439,straight
False,True,False,False,False,True,False,False,True,False,False,-0.002,-1.0,3.989,right
True,True,False,True,False,False,False,False,True,True,False,-4.686,-3.439,3.967,right
False,True,False,False,False,False,True,True,False,True,False,2.386,-7.458,3.953,right
False,True,False,False,False,False,True,False,True,True,False,2.975,-8.499,3.947,right
False,False,True,False,True,False,False,False,True,True,False,1.985,3.946,-7.712,left
False,True,False,False,False,False,True,True,False,False,False,-0.001,0.0,3.942,right
True,False,False,False,True,False,False,False,False,True,False,-1.9,3.919,-0.138,left
False,False,True,True,False,False,False,True,False,False,True,2.481,3.841,-8.649,left
True,True,False,False,False,True,False,True,False,False,True,-1.0,-1.9,3.798,right
False,False,True,False,False,False,True,True,False,False,False,0.368,3.75,-4.095,left
True,True,False,False,True,False,False,True,False,False,True,-2.71,-2.71,3.742,right
False,False,False,False,False,False,True,True,False,False,False,1.763,2.157,3.731,right
True,False,True,False,False,True,False,True,False,False,True,-3.439,3.697,-5.217,left
False,False,True,False,False,True,False,False,True,False,False,0.011,3.689,-1.0,left
False,True,False,True,False,False,False,True,False,False,False,3.669,-1.0,0.45,straight
False,False,True,True,False,False,False,False,True,False,True,1.907,3.653,-5.695,left
True,False,True,True,False,False,False,False,False,True,False,-1.0,3.644,0.0,left
False,True,True,False,False,True,False,True,False,False,True,3.642,-2.71,-2.71,straight
True,True,False,False,True,False,False,False,False,False,True,-1.0,-1.9,3.583,right
True,False,False,False,True,False,False,True,False,True,False,-8.499,-0.089,3.578,right
True,True,False,False,False,True,False,False,True,True,False,-1.9,-1.0,3.564,right
False,False,True,False,False,True,False,False,False,True,False,3.542,0.341,0.0,straight
False,True,False,False,True,False,False,False,True,True,False,1.197,-6.126,3.52,right
False,True,False,False,False,True,False,False,True,False,True,3.057,-8.649,3.512,right
True,False,True,False,False,True,False,False,True,False,True,-1.9,3.493,-1.0,left
True,False,False,False,False,True,False,False,True,False,True,-8.499,3.465,0.704,left
False,False,True,False,True,False,False,True,False,True,False,1.945,3.46,-4.095,left
False,True,False,False,False,True,False,False,False,False,True,3.449,0.0,0.319,straight
True,False,True,False,False,True,False,True,False,False,False,-2.71,3.42,-1.0,left
False,True,False,False,False,False,True,False,False,True,False,0.326,0.0,3.414,right
False,False,True,True,False,False,False,False,False,False,True,-0.005,3.407,0.0,left
False,False,True,True,False,False,False,False,True,False,False,3.4,0.69,-2.71,straight
False,True,False,True,False,False,False,True,False,False,True,1.268,-4.686,3.351,right
True,True,False,True,False,False,False,True,False,True,False,-1.9,-3.439,3.35,right
True,False,True,False,False,False,True,False,True,False,False,-1.0,3.32,-1.9,left
True,False,True,False,False,False,True,False,True,False,True,-4.095,3.302,-4.095,left
False,False,True,False,False,True,False,False,True,True,False,3.276,2.167,-6.126,straight
False,True,False,False,True,False,False,False,True,False,False,3.229,-3.439,0.956,straight
False,False,False,False,False,True,False,False,True,False,False,1.03,3.19,1.149,left
False,False,True,False,True,False,False,True,False,False,False,0.272,3.178,-1.9,left
False,False,True,False,False,False,True,False,False,False,True,3.125,0.687,-1.0,straight
True,True,False,False,True,False,False,False,False,True,False,-1.0,-1.9,3.103,right
True,False,False,False,True,False,False,False,True,False,True,-2.71,3.076,-1.976,left
True,False,True,False,True,False,False,False,False,False,True,-1.0,3.066,0.0,left
True,True,False,False,False,True,False,False,False,False,True,-1.9,-1.0,3.046,right
True,False,True,True,False,False,False,False,True,False,False,-1.0,2.997,0.0,left
True,False,False,False,False,True,False,False,True,False,False,-2.71,2.97,-0.012,left
True,False,False,False,False,True,False,False,True,True,False,-7.712,2.956,1.322,left
True,True,False,False,False,True,False,True,False,False,False,0.0,0.0,2.952,right
True,False,False,True,False,False,False,False,False,True,False,-1.0,2.946,-0.249,left
True,True,False,False,True,False,False,True,False,True,False,-1.0,-1.9,2.944,right
True,False,False,False,True,False,False,True,False,False,True,-1.9,2.916,-0.578,left
True,True,False,False,False,False,True,False,True,True,False,-2.71,-2.71,2.894,right
True,False,True,False,True,False,False,True,False,False,False,-1.0,2.835,-1.0,left
True,False,True,False,False,True,False,False,True,True,False,-1.9,2.752,-1.9,left
True,False,True,False,False,False,True,True,False,True,False,-1.0,2.719,0.0,left
True,False,True,False,True,False,False,False,False,True,False,-1.0,2.691,-1.0,left
True,False,False,True,False,False,False,False,True,True,False,-1.9,0.14,2.686,right
True,True,False,True,False,False,False,True,False,False,False,-1.0,-1.0,2.632,right
False,False,True,False,False,False,True,True,False,False,True,2.39,2.563,-7.712,left
True,True,False,False,False,False,True,False,True,False,False,-1.0,-1.0,2.552,right
True,False,True,True,False,False,False,True,False,False,True,-2.71,2.529,-1.0,left
True,False,False,True,False,False,False,True,False,True,False,-3.439,2.523,-2.635,left
True,False,False,False,False,True,False,True,False,False,True,-3.439,2.503,-1.798,left
True,False,True,True,False,False,False,True,False,True,False,-2.71,2.491,0.0,left
True,True,False,False,True,False,False,False,True,False,True,-2.71,-1.0,2.483,right
False,True,True,False,False,True,False,False,True,True,False,2.452,-5.217,-5.217,straight
True,True,False,True,False,False,False,False,False,True,False,-1.0,-1.0,2.365,right
True,True,False,False,False,False,True,False,False,True,False,0.0,-1.0,2.296,right
True,False,True,False,False,True,False,False,False,True,False,-1.0,2.223,0.0,left
True,False,False,False,False,False,True,True,False,False,False,-1.9,2.203,0.495,left
True,False,True,False,False,True,False,True,False,True,False,-4.095,2.186,-4.095,left
True,True,False,False,True,False,False,False,True,False,False,0.0,0.0,2.135,right
True,False,False,True,False,False,False,False,False,False,True,-1.9,-0.01,2.023,right
True,False,True,False,True,False,False,False,True,True,False,-1.9,1.974,0.0,left
True,False,True,False,False,False,True,True,False,False,False,-1.0,1.736,-1.0,left
True,False,True,False,False,False,True,False,False,False,True,-1.9,1.707,-2.71,left
False,True,True,True,False,False,False,True,False,False,False,1.695,-2.71,-1.0,straight
True,False,False,False,False,False,True,True,False,False,True,-8.906,1.665,1.027,left
True,False,True,False,False,False,True,False,True,True,False,-2.71,1.657,-1.0,left
True,False,True,False,False,True,False,False,True,False,False,-1.0,1.632,0.0,left
True,False,False,False,False,True,False,True,False,False,False,-1.9,1.603,-1.752,left
True,True,False,False,False,False,True,True,False,False,True,-2.71,-2.71,1.455,right
False,True,True,False,False,True,False,False,False,True,False,1.42,-1.0,-1.0,straight
True,False,False,False,False,True,False,True,False,True,False,-1.0,-0.754,1.37,right
True,False,True,False,False,False,True,True,False,False,True,-2.71,1.358,-1.0,left
True,False,False,False,False,False,True,False,True,False,False,-1.9,1.303,-0.041,left
True,False,False,False,True,False,False,False,False,False,True,-2.71,-0.346,1.294,right
False,True,True,False,False,False,True,False,False,True,False,1.242,-1.0,-1.0,straight
True,True,False,False,False,False,True,True,False,True,False,-4.686,-4.686,0.905,right
True,True,False,False,False,False,True,True,False,False,False,-1.0,-1.0,0.829,right
False,True,True,True,False,False,False,False,True,False,False,0.712,-2.71,-1.9,straight
False,True,True,True,False,False,False,True,False,True,False,0.635,-3.439,-3.439,straight
False,True,True,False,True,False,False,False,True,True,False,0.632,-2.71,-3.439,straight
False,True,True,False,False,True,False,True,False,True,False,0.6,-4.686,-2.71,straight
False,True,True,False,True,False,False,False,False,True,False,0.562,-1.9,-2.71,straight
True,False,True,True,False,False,False,False,False,False,True,-1.0,0.559,0.0,left
True,False,True,False,True,False,False,True,False,False,True,-1.9,0.542,-1.9,left
False,True,True,False,False,False,True,False,True,True,False,0.478,-4.686,-4.686,straight
False,True,True,False,False,True,False,False,True,False,True,0.478,-4.686,-4.095,straight
True,True,False,True,False,False,False,False,False,False,True,-1.0,-1.0,0.454,right
False,True,True,True,False,False,False,False,False,False,True,0.449,-1.0,-1.0,straight
True,False,False,False,False,False,True,False,True,False,True,-2.71,-1.228,0.385,right
True,False,True,True,False,False,False,False,True,False,True,-3.439,0.247,-3.439,left
False,True,True,False,False,True,False,False,False,False,True,0.204,-2.71,-1.9,straight
True,False,True,False,True,False,False,True,False,True,False,-1.9,0.183,-1.9,left
False,True,True,False,False,True,False,False,True,False,False,0.103,-1.0,-1.0,straight
False,True,True,False,False,False,True,True,False,False,False,0.09,-1.9,-1.9,straight
True,True,False,True,False,False,False,True,False,False,True,-4.095,-4.095,0.031,right
True,False,False,False,False,False,True,False,True,True,False,-1.0,-0.268,0.019,right
False,True,True,True,False,False,False,True,False,False,True,-0.273,-4.095,-3.439,straight
False,True,True,False,True,False,False,False,True,False,False,-0.315,-1.9,-1.9,straight
False,True,True,False,False,False,True,False,True,False,True,-0.542,-3.439,-5.695,straight
False,True,True,False,True,False,False,True,False,True,False,-0.963,-6.126,-6.513,straight
True,True,False,False,False,True,False,False,True,False,False,-1.9,-1.0,-1.418,left
True,True,True,False,False,True,False,False,True,False,False,-1.9,-1.9,-1.0,right
False,True,True,False,True,False,False,True,False,False,False,-1.018,-3.439,-3.439,straight
True,True,False,False,False,True,False,False,True,False,True,-2.71,-2.71,-1.103,right
False,True,True,True,False,False,False,False,True,True,False,-1.387,-3.439,-2.71,straight
False,True,True,False,True,False,False,False,True,False,True,-1.438,-2.71,-1.9,straight
False,True,True,False,False,False,True,True,False,True,False,-1.45,-4.095,-4.095,straight
False,True,True,False,True,False,False,True,False,False,True,-2.266,-4.686,-4.095,straight
True,True,True,True,False,False,False,False,False,False,True,-2.71,-2.71,-2.71,straight
False,True,True,False,False,False,True,True,False,False,True,-2.723,-4.686,-4.686,straight
False,True,True,True,False,False,False,False,True,False,True,-3.821,-4.686,-5.217,straight
True,True,False,False,True,False,False,False,True,True,False,-4.686,-4.686,-4.042,right
True,True,True,False,True,False,False,False,False,True,False,-5.217,-5.217,-4.686,right
True,True,True,True,False,False,False,True,False,False,False,-5.217,-5.217,-4.686,right
